gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
GNB1,0.05493731314511099,0.5057494250574942,-0.14005467388226572,0.199,0.5316628958865771,0.5896976645377533,False,upreg,cM
RER1,-0.2972507405004043,0.00012880759131836698,-0.14001060558392897,0.556,0.00019310563361850418,0.841921671437459,False,upreg,cM
TNFRSF14,0.09479019796224654,0.35336466353364665,0.25942614693742333,0.2062,0.38225348081305616,0.5996422712933753,False,upreg,cM
RPL22,-0.7438061574970173,1.566710697633078e-06,0.008177227048040686,0.5398,4.966690510204862e-06,0.8339550335570469,False,upreg,cM
CAMTA1,-0.0005555698104200363,0.9359064093590641,0.19962125296374353,0.2782,0.941060079014125,0.6883376693766938,False,upreg,cM
VAMP3,-0.18934003358990237,0.07405924739791833,0.3204001966007444,0.6407766990291263,0.08652091218720337,0.8771051367520124,False,upreg,cM
PARK7,-1.4720474093835314,1.7769753717014377e-06,-0.3375532841098156,0.4238,5.310567968456343e-06,0.7856434517766497,False,upreg,cM
ENO1,-1.2135937538733175,6.630827601252241e-05,0.8479516550862325,0.004199580041995801,0.00010375228106158177,0.0697130286971303,False,upreg,cM
PGD,-0.8648647464754485,6.029770615174344e-07,-0.20620309948927804,0.6716,2.90585160506965e-06,0.8908546114742193,False,upreg,cM
FBXO6,1.6850696014121387,8.075392270490812e-07,0.023589577202924955,0.7784797228449154,3.3898083415899362e-06,0.934729520052597,False,upreg,cM
AGTRAP,-0.3016536420043911,0.0002378860009880918,0.039901206738728975,0.6826,0.00034611939267271366,0.8951310062808147,False,upreg,cM
TNFRSF1B,-0.6756303224096258,4.196229766901286e-06,0.34179665496056305,0.0938,9.176425813606883e-06,0.4241320293398533,False,upreg,cM
EFHD2,-0.49473481309619577,1.4210585114194952e-06,-0.2388033139304178,0.175,4.655825794104219e-06,0.5592363840539023,False,upreg,cM
SZRD1,0.19927047038146106,0.035596440355964404,0.5501695742521857,0.002,0.04281890651514559,0.03853072593280334,False,upreg,cM
NECAP2,0.4621282819696295,1.2526779431109662e-06,-0.297417985019804,0.7182,4.358643739002787e-06,0.9045684355616816,False,upreg,cM
SDHB,-0.4778540173653488,3.8334180728913735e-08,0.02671557554070617,0.0632,8.641754816172404e-07,0.3686891719745223,False,upreg,cM
CAPZB,-0.5694050457765534,6.361968393339756e-08,-0.05025123358646417,0.6966,1.0465724582196751e-06,0.8990723598775554,False,upreg,cM
