gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr
VMP1,-0.14503426910066547,0.004603494817194533,0.7457867240311398,0.1696,0.00632487023768923,0.41104266263237516
LIMD2,-0.6603643693189551,7.8091090151575e-11,-0.18432748934017945,0.09,4.793177257579431e-10,0.28836
ICAM2,0.6978647477720784,0.00037041016507113867,-0.44472841382045986,0.108,0.0006272696452896027,0.3180441176470588
DDX5,-0.6322569421670052,4.256143704338468e-27,0.6280051585898829,0.3128,1.2864796630849483e-25,0.5746623853211009
PRKAR1A,-0.03252791717861317,0.5968,-0.3612394791008879,0.78,0.6289957894736842,0.8843312101910827
RPL38,-0.20148578856890606,0.0031076881902204648,0.2858007812156167,0.2636,0.004391515538396262,0.5265426433915212
CD300E,0.2308216138134796,0.000952707990808868,-0.46640419794718746,0.003964156654659643,0.0014760524190288264,0.042056814309700326
ATP5H,-0.5173397708895047,2.660533318284215e-07,1.8152486671276074,0.3956,9.513782089043107e-07,0.6420984802431612
HN1,-0.25347046206154983,0.002316219190649962,-0.2291414726616861,0.9016,0.003339858814960611,0.9525405405405406
GRB2,0.038289306783417236,0.5424,0.20417811071902833,0.7508,0.5762100795755968,0.8671821196827686
SAP30BP,0.0034299365942387916,0.0616,-0.08197688294784741,0.6672,0.07425372460496614,0.8285693023255815
H3F3B,0.6022173328625344,7.322989796678062e-05,-0.3887410875419114,0.0052,0.00014519096106780017,0.047331818181818176
WBP2,-0.19234753053229264,0.0232,0.1876868368977048,0.106,0.029311041009463717,0.3138853974121996
SPHK1,-0.23101501886139295,1.2783979518934473e-05,-0.029663467416767633,0.2404,3.170268605159911e-05,0.505407874015748
SRSF2,-0.40771271083765115,2.559344249144302e-06,0.7895773015479778,0.508,7.635138709737751e-06,0.720191150442478
SEC14L1,-0.07799649472599143,0.1016,0.3525993472075649,0.0592,0.11994340456890198,0.21902632794457277
SYNGR2,0.10717962781311115,0.5956,-0.17548908028490703,0.8376,0.6285581027667985,0.9180565960355435
