gene,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_fdr,dv_fdr,distance,ct,distance_bin
CMTM3,-0.13945998524131378,0.0958296770779211,0.14578542145785423,-0.15965379874950505,0.5043094343802589,0.7404259574042595,0.16904793275185118,0.903589732212189,290652.0,cM,far
IL4I1,2.083835175008593,0.04766497274091336,4.824193400013183e-07,-0.012973023963560289,0.1415626353418602,0.9193080691930807,1.8579507435062762e-06,0.9733417962551572,430.0,cM,far
CKLF,-1.4118511853311337,0.0881230234993934,5.497934506994156e-19,-0.07326077578946263,0.29875519873738,0.7981201879812019,8.656551782580993e-18,0.93152690544899,346629.0,cM,far
FAM192A,0.2966239981600619,0.10239347757547095,0.0037996200379962005,-0.10042723336698893,0.637007451650297,0.8738126187381262,0.005184528276144348,0.9539230483731287,113904.0,cM,far
HERPUD1,0.1761406042111963,0.057012244090453516,0.0017998200179982,0.09202344332039165,0.17841849413825744,0.6105389461053895,0.002600751209618341,0.8381631520878655,47348.0,cM,far
CYLD,0.4695603538284256,0.08562512453070406,0.001708687044082984,-0.025856618047007906,0.49125769758584115,0.9563043695630437,0.002485644377533761,0.9864000112512833,43712.0,cM,far
DNAJA2,-0.29747625370643316,0.1019900012614178,0.0037996200379962005,0.030272363760506682,0.48088028582723497,0.9475052494750525,0.005184528276144348,0.9855527400627814,1634915.0,cM,far
TRADD,1.4025422607126512,0.06899738211304798,9.04404351118816e-06,-0.4910122480554566,0.45133046207493505,0.2626737326267373,2.437035885732917e-05,0.6430690264306902,255091.0,cM,far
ZNF267,0.3170602205786511,0.09262163218026814,0.001992664976532999,0.0763704556491542,0.4139853555768095,0.8437156284371563,0.0028598927187774765,0.9412312582888729,619833.0,cM,far
COX4I1,-0.4416753392927661,0.02393309353322614,6.802261336375567e-21,0.47799599310393004,0.24440659685477925,0.10978902109789021,1.3486952723727358e-19,0.4401041192638841,181756.0,cM,far
CYBA,0.05931799358561245,0.016333425282407974,0.0009068607263417788,0.08553181842973297,0.08791555748725806,0.33356664333566644,0.0014121130742515465,0.7002547141119221,122835.0,cM,far
EIF4A1,-0.21861719361588763,0.02702800139817729,3.8939263711211733e-10,0.13009133733775163,0.10455932303755429,0.2146785321467853,2.405248366161771e-09,0.6061556755936192,1752.0,cM,far
GABARAP,-0.1987435981119094,0.03737075371045747,1.4704176908325278e-05,0.5837273815683335,0.43687229176560505,0.16648335166483352,3.672614014738786e-05,0.531874446750156,38342.0,cM,far
PHF23,-0.17039597625667385,0.09350770240426452,0.0695930406959304,0.5937398576047528,0.46941559313720455,0.2221777822217778,0.08384577896298892,0.6099444756379062,41069.0,cM,far
ACADVL,-0.5771874833647219,0.08436966337794627,2.5880682585031453e-06,-0.2725657183936715,0.43293720248486856,0.5171482851714828,8.312875246312102e-06,0.7967376032349818,56159.0,cM,far
TXNDC17,-0.31655807317554596,0.06412021867114283,2.8751894109544472e-05,0.03095660780300046,0.536585931125558,0.9508049195080492,6.692107527525858e-05,0.9857208616332704,114226.0,cM,far
DERL2,-0.02208520265902762,0.06643422220923281,0.7366263373662634,0.7890926727132005,0.3826778377031574,0.04709529047095291,0.7612753525162285,0.3049799858723805,1269072.0,cM,far
SPAG7,-0.1785677819243346,0.07192320046847499,0.012898710128987101,-0.23072956885961482,0.34833131235728215,0.5686431356864313,0.01661213189025925,0.8190501129259271,1788066.0,cM,far
PFN1,-0.6946414570234982,0.018223986406177235,1.702595417465648e-40,0.6562572493814885,0.06692314656858087,8.71320063399811e-06,1.4391411791841214e-38,0.0005597360087280386,1806822.0,cM,far
MAP1LC3B,0.13905974231155427,0.0378204670050327,0.0012577032037385083,-0.5087630814588547,0.31888846353840883,0.10788921107889211,0.0018983753244398913,0.4401041192638841,558343.0,cM,far
CXCL16,-0.27600763081031515,0.04211657222245539,6.397767156637098e-08,-0.16168155099225784,0.18372120948697185,0.37846215378462156,2.978206972046139e-07,0.740074131842518,2016738.0,cM,far
EMC6,-0.3264716714109016,0.08211104637255424,0.0004405512601474726,-0.405908150028294,0.5119241109033631,0.420957904209579,0.0007301602928759969,0.7629995155715025,3087062.0,cM,far
PAFAH1B1,0.14937278564022768,0.060132017112739765,0.014998500149985002,0.16716463564735867,0.4184037392887042,0.667033296670333,0.01927007299270073,0.8658075368933695,4075040.0,cM,far
MIR22HG,-0.2802162717337325,0.09829665445667227,0.0051994800519948,1.2445666117411103,0.592333091797929,0.09569043095690431,0.006981910504601714,0.418743411762366,5038709.0,cM,far
SLC43A2,-0.851315623586537,0.060000662181606414,8.355718384858894e-20,0.016467327595633335,0.3119356687119206,0.9523047695230477,1.3693146659268758e-18,0.9857208616332704,5126997.0,cM,far
YWHAE,-0.36096957192464346,0.06880774329663565,6.512893188674728e-06,0.639358981121635,0.40430120873399905,0.12268773122687732,1.8286200106663662e-05,0.4598202216815355,5355661.0,cM,far
TCF25,-0.21010266684256299,0.09060302094593295,0.0217978202179782,-0.3484285755399796,0.44027837479937004,0.4066593340665933,0.027651895158035535,0.7576220412640816,112200.0,cM,far
RPL13,-0.2738342763032934,0.017439635370060245,1.998858045332428e-17,0.45821841745798697,0.08083779465352786,0.00021092006668168355,2.6976185048772093e-16,0.006118752577561344,156722.0,cM,far
APRT,-0.1758767968476791,0.08415002971812267,0.036896310368963105,-0.13830493686271986,0.40877084092778415,0.7251274872512748,0.04572181670721817,0.8973012277316329,36093.0,cM,far
ARRB2,-0.681560625454678,0.06129195008087003,2.1107438260200577e-13,0.05253552576998143,0.4026007053323205,0.8994100589941005,1.915172081688256e-12,0.9664038278446403,2038448.0,cM,far
PSAP,-0.17942209797656533,0.020106734370534816,5.729800790156728e-10,-0.09939499865331798,0.08729908430816298,0.26117388261173885,3.4988821555101545e-09,0.6428268488135896,180210.0,cM,far
AAED1,0.8276008841161343,0.08064332544820467,3.669414408655225e-06,-0.706301978991768,0.42417514524711175,0.103989601039896,1.1203573270532874e-05,0.4371918829059502,756688.0,cM,far
VPS26A,0.34435925564695147,0.07352848832192942,0.00040532188309704643,-0.47769933855869334,0.4147905155987483,0.23377662233776622,0.0006778317523136529,0.6215046804022389,149398.0,cM,far
SEPT2,-0.08213440575601023,0.07324433837050066,0.25847415258474155,-0.5640996986638108,0.4850138734396756,0.2313768623137686,0.29028635597978664,0.617261197468293,2034552.0,cM,far
GPR35,-0.3615148662385125,0.08270996254934354,7.063833891785728e-05,-0.15633348287078225,0.34192771068241934,0.6422357764223577,0.00014488668941754087,0.8536721636478327,1324882.0,cM,far
UBE2F,1.3552279126796483,0.06520404861834847,0.00017173498188433872,-0.09091168145408365,0.34286803507114866,0.7785221477852214,0.00031094293225056145,0.9254050204735624,1245119.0,cM,far
LRRFIP1,0.24413028568556172,0.0508762790611524,0.00034188086065941974,0.18630085330446836,0.40023715059507825,0.6057394260573943,0.0005797895060391004,0.8364436752201069,1508266.0,cM,far
ARL4C,-0.27545630818747086,0.0955721823678516,0.0066993300669933005,0.37116932326270885,0.33589134536847626,0.2501749825017498,0.008847963887821744,0.636013563997931,963640.0,cM,far
EIF4E2,-0.31270149838456557,0.04601550333699967,1.3392403883384384e-10,-0.11445358368632526,0.3214291625586463,0.7186281371862814,8.999247128332769e-10,0.8960534070816522,843404.0,cM,far
PTMA,-0.3391056275213348,0.030364712759372678,7.60277449359492e-13,0.29620933856635273,0.09214974020451172,0.0015998400159984002,6.426345177217601e-12,0.029197080291970805,154.0,cM,far
DNPEP,0.5623791674918381,0.10732294388935126,0.000367065178721655,-0.4728196786388944,0.4580650646423788,0.3688631136886311,0.0006172844785622806,0.7313508155357303,203235.0,cM,far
TMBIM1,0.4836983082108006,0.0991088195862982,0.0003747681356546439,-0.4289057701271279,0.4698346788468384,0.40075992400759924,0.0006289212391445748,0.7545374419181763,885341.0,cM,far
ARPC2,-0.14154380286040008,0.01838054571761731,1.4318650550746374e-10,0.21502841576681023,0.10891458327912991,0.04839516048395161,9.541806134646755e-10,0.31089051094890513,928336.0,cM,far
RPL37A,-0.3229893751764291,0.03869748231012824,6.038299747767773e-09,0.45340237428946883,0.3695921074054784,0.196980301969803,3.200498150136978e-08,0.5856416206808154,667103.0,cM,far
XRCC5,-0.46744913296659896,0.07612159850513185,1.0011701578348676e-07,0.4277818094735234,0.517989742092461,0.390960903909609,4.5165148131539253e-07,0.7482446993395899,275742.0,cM,far
EEF1B2,-0.6157069620727498,0.049203615834737355,3.4288123224084064e-20,0.0540710682673733,0.2194113172059829,0.7917208279172083,6.118525099764334e-19,0.9287827973959362,2009949.0,cM,far
SUMO1,-0.14828191646351724,0.04904897582354562,0.0033996600339966003,0.19391054467909402,0.410636649511133,0.6181381861813818,0.004662556801535901,0.8404254009674919,1001599.0,cM,far
BZW1,-0.4768752869890968,0.08314710603775101,2.4978315216999837e-06,-0.5551062577804338,0.5240677474874376,0.3615638436156384,8.055255871185088e-06,0.7233276672332767,298326.0,cM,far
SPATS2L,2.438975332661149,0.09616357085799487,8.134347011287459e-06,-0.880682698483431,0.4547800536990188,0.068993100689931,2.2331215897654118e-05,0.35668163952835485,5563.0,cM,far
MOB4,0.12395995689591793,0.09287121190269854,0.18318168183181682,0.2688712066652976,0.4629525269572671,0.5414458554144586,0.2093877444995714,0.8036617779996492,15415.0,cM,far
COQ10B,0.026575818705522208,0.1161799561388685,0.818018198180182,-0.16511781392042377,0.6309875533802334,0.7866213378662134,0.8367753033613836,0.9275309657906831,46063.0,cM,far
SF3B1,-0.2233276526916898,0.10160982045858707,0.029097090290970903,0.03426641395218824,0.6669085015086635,0.9554044595540446,0.03647925605565907,0.9861051169947274,64777.0,cM,far
ARL8B,1.1470286944379138,0.08474259029719891,5.8256854569450075e-05,0.024944713218345117,0.4638475347936997,0.9527047295270473,0.00012392120322985008,0.9857208616332704,20593.0,cM,far
SETD5-AS1,0.15816171612484298,0.09086539801370329,0.0826917308269173,0.44456992902697823,0.4002203510079191,0.2756724327567243,0.09859162561843295,0.6496243494245012,25203.0,cM,far
MTMR14,0.1527058918509995,0.10482203074061565,0.14778522147785222,-0.4033638330880832,0.5901526098461475,0.46535346465353467,0.17124319314100336,0.7762667716630828,86819.0,cM,far
ARPC4,0.015358411153469847,0.06434646955506937,0.8117188281171883,0.4048778920529906,0.40320100337101744,0.28787121287871215,0.8308606997808824,0.660458811261731,200.0,cM,far
UQCRC1,-0.8396776723041839,0.05770664126335194,6.608069691740791e-19,-0.05597615680380514,0.4135625877429597,0.8749125087491251,1.0107199928510201e-17,0.9539230483731287,127591.0,cM,far
TMA7,-0.23650058015723113,0.043897143163142645,2.4032665193444207e-06,0.38600901856168474,0.44430562624194153,0.37446255374462556,7.765887384440925e-06,0.7378979893421701,32681.0,cM,far
CCR5,1.4063958210535432,0.06566093622860306,3.9195606713537725e-06,0.5736137250426989,0.2808722591859424,0.0532946705329467,1.1877008373951243e-05,0.3266841254805817,34389.0,cM,far
CCR1,1.315694054563806,0.05087712774340518,2.0396198949525016e-06,-0.21348567508910074,0.25757423294522486,0.39376062393760625,6.726138709022007e-06,0.7491392370196942,96964.0,cM,far
HIGD1A,0.03638024248172018,0.10314607728775452,0.7244275572442755,1.0202735714047528,0.606844664300341,0.11898810118988101,0.7496331552411769,0.4562562701075864,203906.0,cM,far
SS18L2,0.08546026005212015,0.09688063434336866,0.3802619738026197,-0.11292986889953831,0.532273095084946,0.8236176382361764,0.41771595754241264,0.9376975284927648,9106.0,cM,far
RPL14,-0.5989043247604375,0.027937892205639404,1.8351046050943714e-29,0.41264254400587785,0.15353014349621608,0.010798920107989201,7.755731567846211e-28,0.11878812118788121,147546.0,cM,far
RPSA,-0.48308011595433276,0.04510367793659636,1.8630242079981937e-13,0.21761752368769643,0.19061996381847374,0.24497550244975502,1.700009589798352e-12,0.6333286543140557,228676.0,cM,far
LRRFIP2,1.0227410128505021,0.08521748591363826,4.603267605435249e-05,1.108777761228944,0.48376734725329495,0.027497250274972504,0.00010058296291604095,0.21970439771943204,71592.0,cM,far
ORMDL1,-0.019117408663640714,0.0941734319415256,0.837016298370163,0.008464451828031521,0.4902824994267485,0.9841015898410159,0.8534909048777661,0.9979289586804246,1229742.0,cM,far
