SOURCE,TARGET,CTRL,STIM,CTRL_MAG,STIM_MAG
IRF7,LAP3,0.3279608709271997,0.10305776540189981,0.3279608709271997,0.10305776540189981
IRF7,IRF1,0.35177798522636294,0.12209197552874684,0.35177798522636294,0.12209197552874684
IRF7,DDAH2,0.3401394390966743,0.17779804207384586,0.3401394390966743,0.17779804207384586
IRF7,CLIC1,0.32265104237012565,0.25956702651456,0.32265104237012565,0.25956702651456
IRF7,DYNLT1,0.4843680839985609,-0.0448728334158659,0.4843680839985609,0.0448728334158659
IRF7,TAX1BP1,0.3519840957596898,-0.1787814314593561,0.3519840957596898,0.1787814314593561
IRF7,TFEC,0.40954780019819736,0.010812832624651492,0.40954780019819736,0.010812832624651492
IRF7,SAT1,0.33157390775159,0.3008085205219686,0.33157390775159,0.3008085205219686
IRF7,GK,0.431717362254858,0.2667482793331146,0.431717362254858,0.2667482793331146
IRF7,GLRX3,-0.3971579587087035,-0.2015409516170621,0.3971579587087035,0.2015409516170621
IRF7,IRF7,0.9975103735923767,0.9960165172815323,0.9975103735923767,0.9960165172815323
IRF7,TMEM179B,0.35757914520218037,0.01242808299139142,0.35757914520218037,0.01242808299139142
IRF7,BLOC1S1,0.3243289878591895,-0.08926732558757067,0.3243289878591895,0.08926732558757067
IRF7,NAP1L1,0.3085078690201044,-0.08375798538327217,0.3085078690201044,0.08375798538327217
IRF7,UBE2N,-0.4114053789526224,-0.1011046702042222,0.4114053789526224,0.1011046702042222
IRF7,AHSA1,-0.3000260116532445,0.022580777760595083,0.3000260116532445,0.022580777760595083
IRF7,ISG20,0.3031418416649103,0.3408014755696058,0.3031418416649103,0.3408014755696058
IRF7,PSMB10,0.3003497482277453,-0.15463247150182724,0.3003497482277453,0.15463247150182724
IRF7,RPL27,-0.3189770436147228,0.11100333649665117,0.3189770436147228,0.11100333649665117
IRF7,APOBEC3A,0.40876297280192375,0.19241609051823616,0.40876297280192375,0.19241609051823616
MAFB,DUSP6,0.37294758204370737,0.14873901661485434,0.37294758204370737,0.14873901661485434
MAFB,SPPL2A,0.3101523742079735,0.14333775639533997,0.3101523742079735,0.14333775639533997
MAFB,RSL24D1,-0.30784135591238737,-0.04914221214130521,0.30784135591238737,0.04914221214130521
MAFB,MAFB,0.9983266294002533,0.9982935413718224,0.9983266294002533,0.9982935413718224
MAFB,RPL36,-0.35029117949306965,-0.21207395708188415,0.35029117949306965,0.21207395708188415
ETV6,SERBP1,-0.37186213582754135,0.028389585204422474,0.37186213582754135,0.028389585204422474
ETV6,TMCO1,0.33214823715388775,-0.0481546837836504,0.33214823715388775,0.0481546837836504
ETV6,LARP7,-0.34132207091897726,-0.03083435818552971,0.34132207091897726,0.03083435818552971
ETV6,RPL37,0.3465889375656843,-0.1319341342896223,0.3465889375656843,0.1319341342896223
ETV6,SNX2,-0.3251098282635212,0.29197379015386105,0.3251098282635212,0.29197379015386105
ETV6,SEC61G,-0.3351791212335229,-0.06118565512588248,0.3351791212335229,0.06118565512588248
ETV6,NDUFB2,-0.37544173561036587,0.01578216173220426,0.37544173561036587,0.01578216173220426
ETV6,MORF4L2,-0.3153985356912017,-0.10693397466093302,0.3153985356912017,0.10693397466093302
ETV6,HPRT1,-0.306590904481709,-0.1572293508797884,0.306590904481709,0.1572293508797884
ETV6,RPL12,0.30332283303141594,0.05303052393719554,0.30332283303141594,0.05303052393719554
ETV6,HNRNPF,-0.3942359797656536,0.11980556324124336,0.3942359797656536,0.11980556324124336
ETV6,RNH1,-0.3251647955039516,-0.06337516871280968,0.3251647955039516,0.06337516871280968
ETV6,ETV6,0.9979546070098877,0.9963591620326042,0.9979546070098877,0.9963591620326042
ETV6,HMGB1,-0.35314659122377634,-0.07461083168163896,0.35314659122377634,0.07461083168163896
ETV6,COMMD6,0.31201409455388784,-0.16317787114530802,0.31201409455388784,0.16317787114530802
ETV6,SNX6,0.30293283332139254,-0.39974431646987796,0.30293283332139254,0.39974431646987796
ETV6,NFKBIA,0.30456968070939183,-0.024010849883779883,0.30456968070939183,0.024010849883779883
ETV6,MAPK1IP1L,-0.3013705322518945,0.19877426698803902,0.3013705322518945,0.19877426698803902
ETV6,KTN1,-0.3092640901450068,-0.09001132613047957,0.3092640901450068,0.09001132613047957
ETV6,TMEM208,-0.3516281903721392,-0.010924667119979858,0.3516281903721392,0.010924667119979858
ETV6,KARS,-0.3244205894879997,0.022746363654732704,0.3244205894879997,0.022746363654732704
ETV6,TERF2IP,-0.3160285949707031,0.12823266140185297,0.3160285949707031,0.12823266140185297
ETV6,FMNL1,-0.31555257993750274,0.061475418508052826,0.31555257993750274,0.061475418508052826
ETV6,OAZ1,0.3042008951306343,0.1302547762170434,0.3042008951306343,0.1302547762170434
ETV6,CSTB,-0.3053171345964074,-0.21961012296378613,0.3053171345964074,0.21961012296378613
TGIF1,HCLS1,-0.306174558121711,-0.005820721387863159,0.306174558121711,0.005820721387863159
TGIF1,RNF13,0.32564228866249323,0.08031337708234787,0.32564228866249323,0.08031337708234787
TGIF1,TLN1,0.35298736253753304,-0.2434551347978413,0.35298736253753304,0.2434551347978413
TGIF1,POLR2L,-0.3052686429582536,-0.08752732910215855,0.3052686429582536,0.08752732910215855
TGIF1,ARHGDIB,-0.3217076390283182,0.009167837910354137,0.3217076390283182,0.009167837910354137
TGIF1,EIF5,0.32913072779774666,0.22453939053229988,0.32913072779774666,0.22453939053229988
TGIF1,SERF2,-0.35433107567951083,-0.31902811978943646,0.35433107567951083,0.31902811978943646
TGIF1,DNAJC7,0.30199666786938906,-0.3122475737472996,0.30199666786938906,0.3122475737472996
TGIF1,ATP5H,0.3167895935475826,0.16980728786438704,0.3167895935475826,0.16980728786438704
TGIF1,TGIF1,0.9984001591801643,0.9986670762300491,0.9984001591801643,0.9986670762300491
TGIF1,ADRM1,0.3461522487923503,-0.10970833688043058,0.3461522487923503,0.10970833688043058
TGIF1,TBCB,-0.336954376893118,-0.10306752566248178,0.336954376893118,0.10306752566248178
DDIT3,TXNDC12,-0.41886570397764444,-0.3146922439336777,0.41886570397764444,0.3146922439336777
DDIT3,LEPROT,-0.346285114181228,-0.0006950353854335845,0.346285114181228,0.0006950353854335845
DDIT3,PSMD4,0.393421558663249,-0.1327611841261387,0.393421558663249,0.1327611841261387
DDIT3,RIT1,-0.6078223995864391,-0.11441731196828187,0.6078223995864391,0.11441731196828187
DDIT3,PPP1CB,-0.3848946209582209,-0.012199810240417719,0.3848946209582209,0.012199810240417719
DDIT3,BRK1,-0.32196714263409376,0.024572885362431407,0.32196714263409376,0.024572885362431407
DDIT3,PLSCR1,0.31910367775708437,0.01015601959079504,0.31910367775708437,0.01015601959079504
DDIT3,PYURF,-0.3307920212391764,-0.19517191918566823,0.3307920212391764,0.19517191918566823
DDIT3,STK17A,-0.329750117380172,0.1420754010323435,0.329750117380172,0.1420754010323435
DDIT3,ARPC1A,-0.33537029195576906,-0.10367975383996964,0.33537029195576906,0.10367975383996964
DDIT3,ATP6AP2,-0.30871471017599106,-0.03165169106796384,0.30871471017599106,0.03165169106796384
DDIT3,EPC1,-0.3606457691639662,-0.08990064729005098,0.3606457691639662,0.08990064729005098
DDIT3,PCGF5,-0.3026930931955576,0.028637871939281467,0.3026930931955576,0.028637871939281467
DDIT3,BANF1,-0.33128788881003857,0.1697123246267438,0.33128788881003857,0.1697123246267438
DDIT3,PAK1,-0.37667128816246986,-0.054729130992200226,0.37667128816246986,0.054729130992200226
DDIT3,DDIT3,0.9981458708643913,0.9984110295772552,0.9981458708643913,0.9984110295772552
DDIT3,SNRNP35,-0.36371293291449547,-0.08408240508288145,0.36371293291449547,0.08408240508288145
DDIT3,POMP,-0.3474506866186857,-0.02962273731827736,0.3474506866186857,0.02962273731827736
DDIT3,HIF1A,-0.3025354326236993,0.10022491635754704,0.3025354326236993,0.10022491635754704
DDIT3,SNW1,-0.3661949159577489,-0.13480747025460005,0.3661949159577489,0.13480747025460005
DDIT3,TMEM208,-0.31849008053541183,-0.06254375446405902,0.31849008053541183,0.06254375446405902
DDIT3,SPAG7,-0.31936066527850926,-0.053004796616733074,0.31936066527850926,0.053004796616733074
DDIT3,PSMD11,-0.4228986799134873,0.03332682652398944,0.4228986799134873,0.03332682652398944
DDIT3,MRPL27,-0.31069658044725657,0.0096902696241159,0.31069658044725657,0.0096902696241159
DDIT3,C19orf43,-0.3735855342820287,0.056178793078288436,0.3735855342820287,0.056178793078288436
DDIT3,ATP5J,-0.37584569212049246,0.004630851559340954,0.37584569212049246,0.004630851559340954
DDIT3,IFNGR2,-0.31407894054427743,-0.02902852406259626,0.31407894054427743,0.02902852406259626
ELF1,PFDN2,0.3259636629372835,0.30182547913864255,0.3259636629372835,0.30182547913864255
ELF1,BRK1,-0.3243450475856662,0.11232392024248838,0.3243450475856662,0.11232392024248838
ELF1,G3BP2,-0.32958818320184946,-0.1044238330796361,0.32958818320184946,0.1044238330796361
ELF1,MPLKIP,-0.3616028393153101,0.02141774818301201,0.3616028393153101,0.02141774818301201
ELF1,NDUFA1,-0.3010184201411903,-0.037915640976279974,0.3010184201411903,0.037915640976279974
ELF1,PAK1,-0.3058828515931964,-0.043494125828146935,0.3058828515931964,0.043494125828146935
ELF1,ELF1,0.8735056072473526,0.8730991408228874,0.8735056072473526,0.8730991408228874
ELF1,ANAPC11,-0.3492855513468385,-0.10901062027551234,0.3492855513468385,0.10901062027551234
ELF1,HCST,-0.33108341228216887,0.2140837530605495,0.33108341228216887,0.2140837530605495
AHR,NRD1,-0.30598155595362186,0.057492840103805065,0.30598155595362186,0.057492840103805065
AHR,GNG5,-0.34536981768906116,0.012099459767341614,0.34536981768906116,0.012099459767341614
AHR,NDUFS2,-0.32283421978354454,-0.09048219863325357,0.32283421978354454,0.09048219863325357
AHR,TMCO1,-0.3798563495511189,-0.031724538654088974,0.3798563495511189,0.031724538654088974
AHR,NRBP1,-0.3310535038472153,0.12992584705352783,0.3310535038472153,0.12992584705352783
AHR,DGUOK,-0.3065922623500228,0.007228979840874672,0.3065922623500228,0.007228979840874672
AHR,CHMP3,-0.32195437606424093,-0.18126841634511948,0.32195437606424093,0.18126841634511948
AHR,CGGBP1,-0.3051669013220817,0.21045888651860878,0.3051669013220817,0.21045888651860878
AHR,TMED9,-0.3202680462272838,-0.009523061569780111,0.3202680462272838,0.009523061569780111
AHR,AHR,0.9985066279768944,0.9989549294114113,0.9985066279768944,0.9989549294114113
AHR,PSMA2-1,-0.404574588406831,-0.00735070212977007,0.404574588406831,0.00735070212977007
AHR,ARPC1B,-0.36502616573125124,-0.03480413765646517,0.36502616573125124,0.03480413765646517
AHR,ZFAND5,-0.40168901602737606,-0.06708003394305706,0.40168901602737606,0.06708003394305706
AHR,RDX,-0.3112618364393711,0.034357127733528614,0.3112618364393711,0.034357127733528614
AHR,P2RX4,0.30058451276272535,-0.06088709249161184,0.30058451276272535,0.06088709249161184
AHR,SPG20,-0.3180244751274586,0.052550206426531076,0.3180244751274586,0.052550206426531076
AHR,MED4,-0.31974667171016335,-0.1895765057997778,0.31974667171016335,0.1895765057997778
AHR,TM9SF2,-0.3150607197312638,0.020408271346241236,0.3150607197312638,0.020408271346241236
AHR,SNW1,0.30477624805644155,0.06566034350544214,0.30477624805644155,0.06566034350544214
AHR,MESDC2,-0.3391757011413574,0.1260888217948377,0.3391757011413574,0.1260888217948377
AHR,CHD2,-0.3282864335924387,-0.12240373063832521,0.3282864335924387,0.12240373063832521
AHR,RP11-290F20.3,-0.32273827074095607,-0.15481020975857973,0.32273827074095607,0.15481020975857973
RELB,PTAFR,-0.3287384398281574,0.12087935872841626,0.3287384398281574,0.12087935872841626
RELB,ELOVL1,-0.38402426429092884,0.03583436366170645,0.38402426429092884,0.03583436366170645
RELB,UQCRH,0.342004856094718,-0.3401688616722822,0.342004856094718,0.3401688616722822
RELB,RAP1A,-0.3481968642445281,-0.09836495108902454,0.3481968642445281,0.09836495108902454
RELB,PSMD4,-0.3080177865922451,-0.004654290154576302,0.3080177865922451,0.004654290154576302
RELB,C1orf43,-0.321615788154304,0.09714601002633572,0.321615788154304,0.09714601002633572
RELB,RTN4,-0.412201588973403,-0.05347389110829681,0.412201588973403,0.05347389110829681
RELB,SSB,-0.30400147289037704,-0.16592074884101748,0.30400147289037704,0.16592074884101748
RELB,UBE2F,-0.3029397651553154,-0.05270759202539921,0.3029397651553154,0.05270759202539921
RELB,SLC6A6,-0.41378746926784515,0.07219572458416224,0.41378746926784515,0.07219572458416224
RELB,PPP4R2,-0.32673920365050435,0.05348445940762758,0.32673920365050435,0.05348445940762758
RELB,PCNP,0.3267517643980682,0.13442280609160662,0.3267517643980682,0.13442280609160662
RELB,CDV3,-0.4034184901975095,0.09045737842097878,0.4034184901975095,0.09045737842097878
RELB,PSMD2,-0.300846423022449,-0.08164609223604202,0.300846423022449,0.08164609223604202
RELB,CCT5,-0.3524507861584425,-0.2083153324201703,0.3524507861584425,0.2083153324201703
RELB,PPP1R18,-0.32177099492400885,-0.05533323995769024,0.32177099492400885,0.05533323995769024
